Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,n_estimators
BP,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.23673431371950357,-0.023401295645121133,0.19273349471655155,0.22654755652604072,1.2282987659600266,-0.10329529041921602,1,0,100
ITUB,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.2449285699327505,0.026911533118356513,0.45343084235977216,-0.1963414342047565,0.5401674236760747,-0.1370649716773056,0,1,100
APA,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.46927142584971926,-0.24260079859194175,0.3745226206155951,0.3333985801217184,1.2529855341671685,-0.7276599633488905,1,0,100
SHEL,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.03213203964678105,0.02042900416632722,0.3509325227318394,0.16803871992180924,0.09156187462093486,0.12157319560535286,0,0,100
VZ,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.0484598016696602,-0.0923440473670461,0.022450950820407902,-0.019116610711880196,2.158474358493996,4.8305658758672125,1,0,100
NEM,2020-09-23,2020-12-21,2020-12-22,2021-03-24,-0.0065745918607578975,-0.15870470780495402,0.028215227818075575,0.03598843646888178,-0.23301572835594841,-4.40988059990274,0,0,100
BBD,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.17446666062954472,-0.020861544862254125,0.44189285003591244,-0.08310993919456591,0.39481666339558535,0.25101143213949245,0,1,100
ES,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.07677161856783071,-0.020073424937011784,0.07938458458749209,0.039299534203976805,0.9670847176030561,-0.5107802253539308,0,0,100
KR,2020-09-23,2020-12-21,2020-12-22,2021-03-24,-0.1440074830729084,0.008576977745821009,-0.064609875051401,0.16449943436146192,2.228877287850222,0.05213986163000679,0,0,100
HPQ,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.19964862387637944,0.148352548440257,0.28863854395088795,0.2119305005054841,0.6916907948037244,0.7000056532043065,0,0,100
AZN,2020-09-23,2020-12-21,2020-12-22,2021-03-24,-0.010300257282616005,0.09551106819973673,-0.10143963480705871,0.027318245086884907,0.10154075674865559,3.4962373276894794,1,1,100
TGT,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.1471642054871228,0.04125509903192581,0.13786316174449478,0.10239813847198792,1.0674657655093236,0.40288915059927166,1,0,100
T,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.149246901424908,-0.009570738097323601,0.07094335219946452,0.0815441247287957,2.1037475224639093,-0.11736882490497667,1,0,100
LUMN,2020-09-23,2020-12-21,2020-12-22,2021-03-24,0.03694495030183288,0.08009008941266674,0.0263156074137831,0.40627204707547204,1.4039178241609784,0.19713413706207708,1,0,100
CDE,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.025443968355054785,-0.45688516762560905,0.04709673410334053,0.07993693274921249,0.5402491030317549,-5.715570411726989,0,0,100
AMZN,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.1542974388970937,0.11534804588307208,-0.029015912081299132,0.1450027307738385,5.317683568407936,0.7954887833318189,0,0,100
AES,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.2738400484012069,-0.2601641764181727,0.14614341282949356,0.002631099859666112,1.87377619763607,-98.88038854260273,1,0,100
MSTR,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.5766513398952029,0.07978954866556955,0.8958282685776522,-0.019299441853947316,0.6437074605948513,-4.13429306761274,0,1,100
MRK,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.020655278111540387,0.023837646521389304,-0.027758024995126508,0.05348704334182502,0.7441191552773242,0.4456714193201457,1,0,100
NVDA,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.4736103227948668,-0.007139993100617279,-0.020523201477127145,0.43676132005666335,23.076824701190002,-0.016347585678353958,0,0,100
NVO,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.02097341966573822,0.04961022483245131,-0.0438345382834874,0.20851342793891342,0.4784679042379459,0.23792340533092785,1,0,100
KGC,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.37538485315740727,-0.14169953168040336,-0.055341518718182006,-0.007085518561397169,6.783060202395162,19.99847018288837,0,0,100
