Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
SLB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0638555950812263,0.08526639918932519,1,0.22777777777777777,-0.99
CMCSA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.031375179694235394,0.31397623007793035,1,0.7722222222222221,-0.11888888888888888
EXAS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.4639077615873004,0.3010276717728671,0,0.01,-0.7722222222222221
BAX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.04433450439961001,0.14034381655997,1,0.99,-0.01
NEE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0841486350910206,-0.1857236464007686,0,0.33666666666666667,-0.8811111111111111
BKR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.18136102734652543,0.20854835167055558,1,0.01,-0.8811111111111111
AMD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.025944969129379197,0.49314062221510585,1,0.01,-0.99
LEN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.011810239206451799,0.06805166526568189,1,0.5544444444444444,-0.33666666666666667
KO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.044237727363860606,0.021757301574598716,0,0.11888888888888888,-0.01
CPRT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0888597438811647,-0.06519859743047839,1,0.99,-0.99
BP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.049015836803903305,0.20022958377669972,1,0.99,-0.6633333333333333
XOM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0964570306087037,-0.11359004557640612,0,0.99,-0.99
JHX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.15867552998858994,0.21412398788294573,1,0.33666666666666667,-0.11888888888888888
ABT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.07924595706022111,0.056204353790297014,1,0.6633333333333333,-0.7722222222222221
ITUB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.16538616493984631,-0.12321024084877306,0,0.01,-0.99
^VIX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.660281061230768,-0.29664719807738066,1,0.99,-0.8811111111111111
APA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.11357125455425271,-0.11552781127246324,0,0.11888888888888888,-0.99
SHEL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.03874225275719948,-0.07899329451767981,0,0.7722222222222221,-0.8811111111111111
CNQ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.04594572712375846,0.18251547627208844,1,0.01,-0.99
TEVA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.006716452726279796,0.12599798360058706,1,0.01,-0.44555555555555554
BCS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.036604759080166194,0.12413799822076121,1,0.99,-0.99
LYG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.024929697589470806,0.08480130156641301,1,0.33666666666666667,-0.99
TSCO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.09729854028527386,0.2714459249166505,1,0.33666666666666667,-0.01
VZ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.11888703090856301,-0.09064466239441508,0,0.44555555555555554,-0.8811111111111111
BMY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.10708870762156061,-0.12571106682031064,0,0.99,-0.11888888888888888
NEM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.2793913472861279,0.07048205772924511,1,0.5544444444444444,-0.99
USB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0334777404709127,-0.06955603127232832,0,0.7722222222222221,-0.22777777777777777
CLF,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06375738657111439,-0.24810940758367028,0,0.6633333333333333,-0.99
BBD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.007070873742067712,0.5587371350553323,1,0.44555555555555554,-0.8811111111111111
DIS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.06270468883084018,-7.126785945181166e-05,0,0.01,-0.01
LUV,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.2014270781933957,-0.07649697129320329,1,0.44555555555555554,-0.99
WIT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.018525501471315316,0.027613354463006896,1,0.01,-0.99
BSX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1890716388274962,-0.3181625533458799,0,0.7722222222222221,-0.01
BB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.09851414157781078,0.2397180843296691,1,0.99,-0.01
LNW,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2249732576090654,0.11048965268263612,0,0.01,-0.8811111111111111
CVX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0784153869302319,0.043163804773871384,1,0.6633333333333333,-0.8811111111111111
BBWI,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1396123949353954,0.12009160063275141,1,0.7722222222222221,-0.99
FAST,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0549099849239914,0.10038995521082651,1,0.01,-0.44555555555555554
CCJ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.043848926717179285,-0.16386803903144895,0,0.8811111111111111,-0.7722222222222221
GOOG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.006707612317702368,-0.3742457132133888,0,0.7722222222222221,-0.01
ES,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.020323269633927606,0.14884113088821319,1,0.33666666666666667,-0.8811111111111111
KR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.04736735034791179,0.10478039595667822,1,0.99,-0.99
HPQ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.02759381303598557,0.059997793903824446,1,0.99,-0.99
IRM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0972205281180753,0.03621995753886249,0,0.11888888888888888,-0.99
ON,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.27381625944966986,-0.22184197610670497,1,0.8811111111111111,-0.99
AZN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.01327353241213281,0.2851197497309113,1,0.99,-0.44555555555555554
TGT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.016041631384323605,-0.1094458190673766,0,0.99,-0.8811111111111111
HST,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0638503647591965,0.08910836356669918,1,0.33666666666666667,-0.99
T,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.037153480119092905,0.20972372654924037,1,0.01,-0.8811111111111111
GOOGL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.006708907853560106,-0.3742460193897422,0,0.7722222222222221,-0.01
LUMN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.022473322713951603,0.1350634034557093,1,0.44555555555555554,-0.33666666666666667
VALE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.026187730405744788,0.016664163138388075,0,0.99,-0.99
TJX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0679635934679266,-0.21151290322076619,0,0.7722222222222221,-0.6633333333333333
CRM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.04746461967906898,-0.05544237370042132,0,0.01,-0.01
NFLX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.22982000399312988,0.07938472974048641,1,0.6633333333333333,-0.8811111111111111
