Ticker,Train Start,Train End,Test Start,Test End,Precision,F1 Score,Recall,Trigger Up,Trigger Down
MNST,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.33669331595779173,0.33752832180190867,0.3544973544973545,0.0,-0.7424999999999999
MNST,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.42867517377321307,0.41430414067229987,0.4417989417989418,0.0,-0.7424999999999999
MNST,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.420200364956015,0.2710113068765223,0.3862433862433862,0.0,-0.7424999999999999
MNST,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.37324534532695297,0.3350654677757402,0.36772486772486773,0.0,-0.7424999999999999
MNST,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,-0.7424999999999999
MNST,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.37904330405909753,0.31649580074798567,0.3968253968253968,0.0,-0.7424999999999999
MNST,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.5076815824111792,0.21931396897383293,0.30423280423280424,0.0,-0.7424999999999999
MNST,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.34338382132536766,0.34475330064695364,0.3544973544973545,0.0,-0.7424999999999999
MNST,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.34457438980934807,0.3380346789681081,0.36772486772486773,0.0,-0.7424999999999999
MNST,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.39492798253449884,0.37051939315692933,0.3862433862433862,0.0,-0.7424999999999999
MNST,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4444290208562671,0.4237938537799415,0.42328042328042326,0.0,-0.7424999999999999
MNST,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3414172844206156,0.32857533472009437,0.3253968253968254,0.0,-0.7424999999999999
SBUX,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3350902292287357,0.3267045462860202,0.3306878306878307,0.2475,-0.99
SBUX,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4362461727606956,0.4147273205802538,0.4312169312169312,0.2475,-0.99
SBUX,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.4248825248825248,0.27530466377584173,0.37566137566137564,0.2475,-0.99
SBUX,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.35593194200835476,0.33756823329976254,0.35978835978835977,0.2475,-0.99
SBUX,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.2887011435398532,0.2039086830122566,0.36243386243386244,0.2475,-0.99
SBUX,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3682405652942726,0.30819903849619606,0.3915343915343915,0.2475,-0.99
SBUX,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.49525925256919406,0.22914798331209035,0.2962962962962963,0.2475,-0.99
SBUX,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.3364704343275772,0.32927191310920556,0.3333333333333333,0.2475,-0.99
SBUX,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3419927938051441,0.33268122468261996,0.35714285714285715,0.2475,-0.99
SBUX,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.4001422959756293,0.3451267913443176,0.3492063492063492,0.2475,-0.99
SBUX,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4373222573103497,0.38537379535752725,0.38095238095238093,0.2475,-0.99
SBUX,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3154747132919722,0.27432717816684854,0.2830687830687831,0.2475,-0.99
RF,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3345770551850724,0.3298443630540618,0.3306878306878307,0.495,-0.7424999999999999
RF,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4346365728539744,0.41396856183126346,0.42328042328042326,0.495,-0.7424999999999999
RF,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.4001669862888602,0.26096373034296355,0.38095238095238093,0.495,-0.7424999999999999
RF,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.35350452285702,0.3304792018748569,0.35714285714285715,0.495,-0.7424999999999999
RF,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.2891289970094318,0.21330235799147518,0.36507936507936506,0.495,-0.7424999999999999
RF,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3818573414847948,0.3312542036620071,0.3888888888888889,0.495,-0.7424999999999999
RF,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.46700415284486085,0.1957525485775109,0.291005291005291,0.495,-0.7424999999999999
RF,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.32533032061543316,0.31194578959420705,0.30687830687830686,0.495,-0.7424999999999999
RF,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.33743951521729304,0.3229819189424904,0.3492063492063492,0.495,-0.7424999999999999
RF,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.40108443491902146,0.3538214529975287,0.34656084656084657,0.495,-0.7424999999999999
RF,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4357298022597422,0.390065867616888,0.3783068783068783,0.495,-0.7424999999999999
RF,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3516295232868219,0.3080181902470909,0.30423280423280424,0.495,-0.7424999999999999
