Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,Alpha
CDE,2009-03-20,2009-09-17,2009-09-18,2010-03-19,1.5505133159077682,-0.0331069902089096,1.0386383075722279,-0.15307196642269694,1.4928327836588524,0.21628382376356942,1,1,0.0,0.0,0.12
PTEN,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.4508534677768211,-0.06625723824809365,0.5369957097580046,-0.02056423228399369,0.8395848599609795,3.2219650766960757,0,0,0.0,-1.6666666666666667,0.12
MRK,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.3172581613374861,0.09953146654215711,0.2291021532944159,0.21133332042814731,1.3847890854599787,0.4709691133443271,1,0,0.0,-0.5555555555555556,0.12
NVDA,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.6091533457612801,-0.4697165472652703,0.5442530698262883,0.1749472053743622,1.1192465041229924,-2.6849045474041353,1,0,0.0,0.0,0.01
MCHP,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.37533662612308283,0.0730448860781021,0.3465062746288543,0.08136299480502128,1.0832029709277529,0.8977654553295052,1,0,0.0,-1.1111111111111112,0.12
FE,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.20363234440207398,0.007724463206717705,0.21413252970131205,-0.1310350442194066,0.9509640813850913,-0.05894959819896557,0,1,0.0,-2.2222222222222223,0.01
INFY,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.8251620424662516,-0.09271796311354942,0.6927007527354221,0.24345310043839016,1.191224405643779,-0.3808452755236659,1,0,0.0,0.0,0.12
PBR-A,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.4677003533423887,0.1955026125785981,0.45854708540862416,0.1012545882395995,1.0199614570128774,1.9308025046329633,1,1,0.0,-0.5555555555555556,0.12
CNC,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.20579858602863638,0.2562014941209218,0.22707274529298943,0.15963805356857932,0.906311260574653,1.604889864250691,0,1,0.5555555555555556,-1.6666666666666667,0.01
INTC,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.26702726744167493,-0.040575615846035994,0.32345919930693984,0.1478060101491124,0.825536166582435,-0.27451939068716996,0,0,0.0,-0.5555555555555556,0.12
FCX,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.645697586563503,0.15607121209320182,0.6990438597330143,0.15813366135590676,0.923686801011476,0.9869575570120833,0,0,0.0,-2.2222222222222223,0.12
EQNR,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.27234855306615974,-0.12067423188812149,0.3249730851917247,0.032916843450649796,0.8380649520728216,-3.666032925333225,0,0,0.5555555555555556,-2.2222222222222223,0.12
NKE,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.27737354538223524,0.1757876857124661,0.29365320366866,0.24697544933666551,0.9445616186609233,0.7117617811187398,0,0,0.0,-1.6666666666666667,0.01
AAPL,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.5147404763153737,0.1455498141235998,0.6204233810365974,0.2013582633647102,0.8296600225725701,0.7228400349280559,0,0,0.0,-1.6666666666666667,0.12
