Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,C
MRK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.10478405858586519,-0.006018589456666078,0.24710648025446877,0.17386046090242857,0.42404415488399655,0,0,0.0,-1.1111111111111112,1.5025
NVDA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2015947855414894,0.32570620004209944,0.41065792692697345,0.27279650750630424,0.4909068407617483,0,1,0.0,-1.1111111111111112,0.5075
CAG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0627561320165986,-0.015172492391837402,-0.11165445517224652,0.1880639956977669,-0.5620566767334657,1,0,1.1111111111111112,0.0,1.005
MCHP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3217156627466912,-0.23938457328444968,0.17508559835615325,-0.00012647842767108536,1.8374764444775635,1,0,0.0,0.0,1.005
FE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.006943590978036518,0.11466787085224242,0.0,0,0,1.1111111111111112,-1.1111111111111112,1.5025
BA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.020890362845415206,0.014490707590565532,0.20099424689339435,-0.01799800546348539,0.10393512833476909,0,1,0.0,-1.1111111111111112,1.005
NVO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.08075705867913294,0.041556938852153016,0.22199763897788333,0.17102113753976944,0.36377440341686884,0,0,0.0,-1.1111111111111112,2.0
EQT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.005565682026318374,-0.026738565345762487,0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
INFY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.004366476602883787,0.2967905386638912,0.0,0,0,1.1111111111111112,-1.1111111111111112,1.5025
UMC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,-0.06645506650995037,0.0013336373762332324,-0.0,1,0,1.1111111111111112,-1.1111111111111112,1.5025
JNJ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.020294268677573505,0.0020746933857896,-0.06004412863471696,0.0674053302610989,-0.3379892279066158,1,0,1.1111111111111112,0.0,2.0
PBR-A,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1652380655744948,-0.009825070814053361,0.34481969788379274,-0.04532193353324153,0.4792013524418245,0,1,0.0,-1.1111111111111112,1.005
KEY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0097512783180962,-0.027828301896329795,0.1391148841852669,0.017109986864549297,0.07009514744022566,0,0,0.0,-1.1111111111111112,2.0
CNC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.01103755912151564,-0.4504689094056426,0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
MDLZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13219493306061467,0.049085251660588,0.0037064629172340125,0.1321406920077886,35.66606115117065,1,0,0.0,0.0,2.0
MDT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.013467812126370403,0.0,-0.0704223978576901,-0.12666523682104028,-0.19124330519938015,1,1,0.0,-1.1111111111111112,1.5025
GAP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.024140411074914693,-0.13440161471848378,0.033784398783150385,0.004466230725245891,0.7145431602871817,0,0,0.0,-1.1111111111111112,2.0
MSFT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0990319344400882,-0.00028756438539939873,0.06507073647134928,-0.013692842671027654,1.5219119962426133,1,1,0.0,0.0,1.005
GSK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.0,0.11740165725906503,0.0400501442537504,0.0,0,0,1.1111111111111112,-1.1111111111111112,0.5075
TXN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2045586570783271,0.05902734906398398,-0.055471579082156504,0.07968832782867512,-3.6876299622796807,1,0,0.0,0.0,2.0
GGB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.5890563193899453,0.17835871733479783,0.5996219247275577,-0.07974477367484904,0.9823795546795375,0,1,0.0,-1.1111111111111112,2.0
