Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,C
KEY,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.0428153573274546,-0.1099929292964598,0.04173374325397088,-0.06637242383643219,1.0259170155646369,1.6572082641960724,1,0,0.0,-1.1111111111111112,2.0
GSK,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.13519652764543796,-0.010198459392299797,0.026179362837326213,-0.02402271777873188,5.1642405693952345,0.42453395516009584,1,1,0.0,0.0,1.5025
EQNR,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.0756242327665379,0.21324441448422288,0.041197197820801314,0.3150196709546749,1.8356644812466751,0.6769241229856549,1,0,0.0,0.0,1.5025
AMAT,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.09572854196515851,-0.014878875296046118,0.06043047972986518,0.13365470195624896,1.5841102435903511,-0.11132324623279341,1,0,0.0,-1.1111111111111112,2.0
F,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.3054180107583097,-0.1448206803777157,0.02943310289183059,0.07635398498172793,10.376684098878378,-1.896701009284222,1,0,0.0,0.0,1.005
BAC,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.0243879041369846,-0.05346742579662709,0.005942899342797114,0.018197093861143813,4.103704728996145,-2.9382398203042674,1,0,0.0,-1.1111111111111112,2.0
QCOM,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.2947617123963857,-0.06312549560064261,0.18899771938101664,-0.06991584686726668,1.559604599260536,0.9028782233087248,1,1,0.0,0.0,2.0
EXC,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.1513569125556752,0.11793708717923974,0.16876996036863864,0.14388338574580856,0.8968237725781965,0.8196713370895593,0,0,0.0,-1.1111111111111112,1.5025
C,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.06362855190455502,-0.05248675428305589,0.04707451481144731,-0.037277874151841785,1.3516560321314708,1.4079867877997727,1,0,0.0,0.0,2.0
APH,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.17114701957994943,-0.22262390553429148,0.09442647716552989,0.18263941534909456,1.812489724464974,-1.218925855127006,1,0,0.0,0.0,2.0
MS,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.12072750671947943,-0.1579749610817113,0.09061643803820271,0.04354490821891646,1.332291462047783,-3.6278629934758935,1,0,0.0,0.0,1.5025
HAL,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.03394754439465806,0.11883267671177261,0.05015947169301078,0.2205390922120358,0.6767923036037142,0.5388281756302948,0,0,0.0,0.0,2.0
CSX,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.2378756718029967,-0.0745059933728471,0.24451890821698818,0.06650248414829119,0.9728313999827931,-1.1203490264620675,0,0,0.0,-1.1111111111111112,0.5075
NOK,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.17529771628832272,0.39754984005480687,0.16873457281659382,0.497879863586455,1.0388962579640553,0.7984854763779251,1,0,0.0,-1.1111111111111112,2.0
HD,2006-09-18,2007-03-20,2007-03-21,2007-09-18,0.11749258104569682,0.01795305995082229,0.05489355671509438,-0.034085832606252205,2.1403710758896635,-0.5267015231286808,1,1,0.0,0.0,2.0
