Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
AMD,2014-08-14,2015-02-12,2015-02-13,2015-08-13,0.4133047858800884,0.3943728016971357,0,0.33666666666666667,-0.01
APA,2014-08-14,2015-02-12,2015-02-13,2015-08-13,0.3749278698086542,-0.1846018170235104,0,0.99,-0.01
LNW,2014-08-14,2015-02-12,2015-02-13,2015-08-13,0.5704653426529491,-0.5113898389634203,0,0.99,-0.5544444444444444
CVX,2014-08-14,2015-02-12,2015-02-13,2015-08-13,0.2336511994497909,0.24607396033171683,1,0.99,-0.11888888888888888
GOOG,2014-08-14,2015-02-12,2015-02-13,2015-08-13,0.18192230094549536,-0.3205513945748932,0,0.8811111111111111,-0.5544444444444444
NFLX,2014-08-14,2015-02-12,2015-02-13,2015-08-13,0.3160617566144124,-0.4740992293880597,0,0.33666666666666667,-0.8811111111111111
PBR-A,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.33319462978705333,-0.03262984535288312,0,0.99,-0.01
FCX,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.3125445691682086,0.3899877177884481,1,0.99,-0.01
IAG,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.6937457128240083,-0.17286186856124475,0,0.33666666666666667,-0.8811111111111111
PBR,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.2480396261367491,0.7222146491304409,1,0.99,-0.33666666666666667
RIG,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.33489774577297465,-0.3871731909233935,0,0.8811111111111111,-0.01
NOK,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.3225980340837745,0.2057086834205117,0,0.8811111111111111,-0.11888888888888888
HL,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.12888818418468323,0.08996238456563058,0,0.99,-0.99
BAX,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.2945647483369084,-0.3203046628133004,0,0.22777777777777777,-0.01
AMD,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.7008547779844592,-0.00682189583424872,0,0.99,-0.33666666666666667
ITUB,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.42187103929266667,0.3183796326736131,0,0.8811111111111111,-0.44555555555555554
CLF,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.41743144209339234,-0.2623556821988108,0,0.99,-0.8811111111111111
GOOG,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.3093751411088338,0.2667265988012054,0,0.01,-0.22777777777777777
GOOGL,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.2865252888866709,0.05189059645525221,0,0.99,-0.5544444444444444
VALE,2015-02-13,2015-08-13,2015-08-14,2016-02-12,0.2966646127434547,0.6584687073123651,1,0.8811111111111111,-0.33666666666666667
PTEN,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.6935099391100151,0.358020739474937,0,0.22777777777777777,-0.01
PBR-A,2015-08-14,2016-02-12,2016-02-16,2016-08-12,1.347196468959001,-0.5442659687656609,0,0.01,-0.01
GGB,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.5828093205194632,0.7658385875614477,1,0.33666666666666667,-0.6633333333333333
PLUG,2015-08-14,2016-02-12,2016-02-16,2016-08-12,1.5381702043733239,-0.023376543244633972,0,0.11888888888888888,-0.01
PBR,2015-08-14,2016-02-12,2016-02-16,2016-08-12,1.0677829621162536,-0.7437771808410756,0,0.44555555555555554,-0.11888888888888888
MU,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.45982450940065395,-0.09723962401170841,0,0.99,-0.6633333333333333
DVN,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.7156350524255362,-1.119439408904883,0,0.7722222222222221,-0.6633333333333333
MS,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.26741348697595874,-0.20389650559115927,0,0.99,-0.99
HAL,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.5804963135395165,0.3261266463993613,0,0.01,-0.33666666666666667
ITUB,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.32519011290514666,0.11317606005423392,0,0.8811111111111111,-0.22777777777777777
^VIX,2015-08-14,2016-02-12,2016-02-16,2016-08-12,1.0116250916833818,-0.5881051528089128,0,0.01,-0.6633333333333333
CNQ,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.6404406871015901,0.004607464347574643,0,0.8811111111111111,-0.22777777777777777
CLF,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.870379134886835,0.718619685648022,0,0.44555555555555554,-0.6633333333333333
VALE,2015-08-14,2016-02-12,2016-02-16,2016-08-12,0.81495827197038,0.06829288753288336,0,0.8811111111111111,-0.99
BA,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.2370743898081561,0.07928349498339898,0,0.01,-0.8811111111111111
CNC,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.3335977558190445,-0.04187941858518372,0,0.11888888888888888,-0.99
GGB,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.7382019006547526,-0.6487779466147755,0,0.11888888888888888,-0.99
EQNR,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.40588024231955067,0.1575188836017587,0,0.44555555555555554,-0.99
AAPL,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.20947444969162501,-0.10753179491896912,0,0.01,-0.8811111111111111
AMAT,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.5756670195254151,-0.232683684235803,0,0.11888888888888888,-0.99
PBR,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.6280618333789904,0.20354360791850504,0,0.44555555555555554,-0.99
MS,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.2697784698080067,-0.33259087609120924,0,0.11888888888888888,-0.8811111111111111
EXAS,2016-02-16,2016-08-12,2016-08-15,2017-02-13,1.4140382485289953,-0.032373574570502994,0,0.01,-0.99
ABT,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.23458878952661757,-0.09726329969725202,0,0.22777777777777777,-0.99
LYG,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.2993574687321316,0.41387647488105783,1,0.7722222222222221,-0.99
CLF,2016-02-16,2016-08-12,2016-08-15,2017-02-13,1.147409089558767,-0.4827288565271201,0,0.6633333333333333,-0.8811111111111111
LNW,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.6150014683413434,-0.21730140047471042,0,0.7722222222222221,-0.8811111111111111
VALE,2016-02-16,2016-08-12,2016-08-15,2017-02-13,0.724959679648757,0.5101082189976542,0,0.99,-0.8811111111111111
CDE,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.48142039869882614,0.1660627403373342,0,0.8811111111111111,-0.22777777777777777
ASX,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.18837086177289403,0.0494552971057219,0,0.22777777777777777,-0.99
AES,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.3023273512751436,-0.14359757298422357,0,0.8811111111111111,-0.99
KGC,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.6059780294506334,0.17278235968352867,0,0.8811111111111111,-0.6633333333333333
PLUG,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.3796945517193747,0.6343264551540707,1,0.44555555555555554,-0.7722222222222221
PBR,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.21802139011388869,0.0443284658305111,0,0.7722222222222221,-0.99
WDC,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.2963595568877075,0.143698385073771,0,0.22777777777777777,-0.7722222222222221
HL,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.236681195811301,0.23360686117248283,0,0.6633333333333333,-0.99
^VIX,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.5331418183668152,0.8281089443940796,1,0.7722222222222221,-0.99
LYG,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.237253561219666,0.0079523681734661,0,0.7722222222222221,-0.99
NEM,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.2798912141785825,0.1424236875201633,0,0.99,-0.8811111111111111
CLF,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.5418513223233496,0.19398721339883665,0,0.22777777777777777,-0.44555555555555554
IRM,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.2824123946099723,-0.2163340046079312,0,0.01,-0.7722222222222221
ON,2016-08-15,2017-02-13,2017-02-14,2017-08-14,0.5708916008095457,0.03980754248517228,0,0.11888888888888888,-0.01
KEY,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.10108505941422,-0.12106243351605218,0,0.99,-0.99
FCX,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.12486626493168146,-0.2775156208414516,0,0.01,-0.7722222222222221
BAC,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.15126951341499548,-0.10045910729920396,0,0.7722222222222221,-0.99
MU,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.10855150263711572,-0.40245157945645477,0,0.99,-0.99
WMT,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.20797106704201462,0.2656885128898484,1,0.01,-0.44555555555555554
CSCO,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.10353114714691748,0.17340049797323803,1,0.8811111111111111,-0.99
BKR,2017-02-14,2017-08-14,2017-08-15,2018-02-13,0.27132522449025237,0.44474957801931025,1,0.99,-0.11888888888888888
