Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,C
CCJ,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.12598078018384481,0.2586243105554769,0.1522616597963872,-0.3387435028675912,0.8273966036644639,-0.763481242787315,0,1,1.12
GOOG,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.09853212834433255,-0.05285094543230888,0.11285233015854407,-0.02482971757945064,0.8731067245656926,2.1285359071521994,0,0,2.23
HPQ,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.23386517207434027,0.4933071039491333,0.06644408007090023,-0.5173542698577861,3.519729249389722,-0.953518957299293,1,1,5.5600000000000005
AZN,2010-09-20,2011-03-18,2011-03-21,2011-09-16,-0.06461016672869462,-0.004113328662956316,-0.0818817834695907,-0.003930423894000515,0.7890664320066938,1.046535634295067,1,0,1.12
T,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.07120362275825308,-0.1009022904668735,0.021442844976086815,0.06997593066171982,3.320623864867734,-1.4419571060034773,1,0,7.78
GOOGL,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.09853364140600836,-0.05672031479447718,0.11285231006399839,-0.024829751561504795,0.8731202874813113,2.2843690020005853,0,0,2.23
LUMN,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.19525062718366956,-0.09348734246267251,0.10379181506953455,-0.09319518912422191,1.8811755729761817,1.0031348542901843,1,0,1.12
CRM,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.03649909922286827,-0.519638064061262,0.021104315248243955,0.1444433172424176,1.7294614297379436,-3.5975223636629674,1,0,4.45
LRCX,2010-09-20,2011-03-18,2011-03-21,2011-09-16,0.20404454112314516,-0.28991889019809947,0.27559942513819446,-0.23879256231147145,0.7403663524364414,1.2141035189359914,0,0,8.89
ASX,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.14457574313360677,-0.2675300288044779,0.031042214766786147,0.06042708312219952,4.657391369133129,-4.427319919835639,1,0,1.12
ERIC,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.2679649490274812,0.03662327818333037,-0.04358578463369452,0.044802178613041546,6.147989563100067,0.8174441359123914,0,0,7.78
MSTR,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.4808944632040976,-0.02530593515275529,0.08497287895587546,0.1837022813366174,5.65938766713807,-0.1377551490848636,1,0,7.78
MRK,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.042277677600255394,-0.09685187597403871,0.043527247762865706,0.1942674822388734,0.9712922312612571,-0.498549087360635,0,0,2.23
EQT,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.40124818438104115,0.2525371154701372,0.3086947363086043,-0.15962234899506378,1.2998219185049873,-1.5820912112873788,1,1,0.01
KEY,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.3963245623312036,-0.3865650864146877,-0.2338739314876993,0.3701316753759586,1.6946076880400347,-1.044398823802467,0,0,0.01
CNC,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.07500260954851538,0.3195981083749664,0.080481524584868,0.4253225658580453,0.9319233194871317,0.7514252335288383,0,0,0.01
MDT,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.21970743603443663,-0.29772862054701993,-0.05127364867599965,0.18132270006575404,4.28499710295199,-1.6419820598251238,0,0,2.23
GAP,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.1757697854639585,0.0616235587118899,-0.19357059373974284,0.4696416446801238,0.9080397082435069,0.13121399988679056,1,0,2.23
AAPL,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.172331815207151,0.09582977421698388,0.18259588225380938,0.3966838378233758,0.9437880694790736,0.24157720854675271,0,0,0.01
HBAN,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.4873244074222345,-0.058662503429592824,-0.20830858967467863,0.33533764852493697,2.339435009297037,-0.17493563185533717,0,0,7.78
MRVL,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.17891907941877677,-0.08082582161629812,0.01766049974621241,0.051046984559768555,10.131031510427611,-1.583361334922005,1,0,1.12
WFC,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.35712235237589196,-0.23518477588069206,-0.19954476336774127,0.3903758270140368,1.7896854136820959,-0.6024573234454794,0,0,1.12
PFE,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.22284014560481083,-0.18875398812069558,-0.059645822678708146,0.22300526480923627,3.7360561996969217,-0.8464104570901498,0,0,3.34
RIG,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.34700029279881983,-0.03491373604786048,-0.23594848707471913,0.08384164013119938,1.470661232461869,-0.4164247740529146,0,0,2.23
CCL,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.40897163955131755,0.019152505895847622,-0.1553221798433442,0.07242756845421591,2.6330536949957866,0.2644366821171777,0,0,2.23
CSCO,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.1747418665974329,-0.10134637730169704,-0.007292457255551232,0.2256313267158382,23.962000800815705,-0.4491680245683856,0,0,5.5600000000000005
CSX,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.1746242122432946,-0.10945040726032668,-0.15791363798481328,0.12062353701552309,1.105820969434498,-0.9073718941456795,0,0,3.34
WDC,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.20324473052899392,-0.01091297690915857,-0.09236418669866549,0.32434007379332325,2.2004711760422015,-0.03364671155656381,0,0,2.23
RF,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.5125092973568705,-0.09601493548158324,-0.5167588063698235,0.6063298231820791,0.9917766103633425,-0.1583543012575026,1,0,6.67
VLY,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.2684698179427899,-0.31785369387006135,-0.1042163279663841,0.2698416681249047,2.576082109027937,-1.17792665631956,0,0,5.5600000000000005
SLB,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.16728987976509432,0.1455780666047062,-0.169758531471452,0.13393099043934234,0.9854578636787228,1.0869632646421654,1,1,3.34
AMD,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.15857571197243403,0.5385609499126183,-0.10943645683505267,0.24825870226346464,1.4490208890027036,2.169353762838373,0,1,4.45
XOM,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.1662580822290679,-0.014705205953408906,-0.07656597928434843,0.1896280204551292,2.1714354571450545,-0.07754764258000854,0,0,0.01
TEVA,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.15102937673102204,-0.08160932984977129,-0.1769128493721114,0.16688677426758325,0.8536936534968859,-0.4890101699666168,1,0,0.01
USB,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.2160189736878003,-0.1943111602922429,-0.05451938917502441,0.3223718753915221,3.962241267859978,-0.6027546914762683,0,0,1.12
BSX,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.4262265830654457,-0.004875487646856681,-0.06518134275851349,-0.012349469572970399,6.539088718140517,0.39479328387737284,0,1,0.01
GOOG,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.1064266604545322,0.17985858195316748,-0.02482971757945064,0.16643216906401473,4.286261416948702,1.080671981652709,0,1,7.78
KR,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.1612221787060555,-0.09420173199059498,-0.031402231174261795,0.0941320610568415,5.1340994788356955,-1.0007401403195815,0,0,0.01
IRM,2011-03-21,2011-09-16,2011-09-19,2012-03-19,0.1813600444467078,-0.008758916772626768,0.1948913149941008,-0.11283510671215069,0.9305701716477074,0.07762581192900632,0,1,1.12
ON,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.14508863921612464,-0.4417182678742297,-0.13155097960589557,0.21295611920642674,1.1029080866656076,-2.074222001792091,0,0,0.01
AZN,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.11500263670654062,-0.003687271472461567,-0.003930423894000515,0.0783728291953975,29.259601459802635,-0.04704782907949564,0,0,1.12
GOOGL,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.10642481006043125,0.16771801226467498,-0.024829751561504795,0.1664321179352349,4.286181027498828,1.0077262390540536,0,1,7.78
LUMN,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.20893724304549513,-0.02288555256313339,-0.09319518912422191,0.17729881325559205,2.241931638413203,-0.1290789946244131,0,0,10.0
LRCX,2011-03-21,2011-09-16,2011-09-19,2012-03-19,-0.33992151347196703,0.40339735487672057,-0.23879256231147145,0.16235810863386832,1.423501260598674,2.484614770836095,0,1,0.01
CDE,2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.4679607599436692,0.07321064627631307,-0.02820296053412492,0.20997229111350438,16.592611239428134,0.3486681308665519,0,0,8.89
PTEN,2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.40634849817064655,0.12183106881262122,-0.07214076240396058,-0.0023324458888574155,5.632716991473571,-52.23318122603995,0,1,1.12
KGC,2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.2637222069870392,0.1760752897352032,-0.4640784412803237,0.05393652321152165,0.5682707566838672,3.264490909892221,1,1,0.01
FCX,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.16897160428789015,0.37137395972378595,0.052625037884958654,0.10483521948154703,3.2108595276885454,3.542454163404072,1,1,0.01
AMAT,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.12383479001518474,0.02767275046253391,0.17668827147428298,-0.03151224905711006,0.7008659317447051,-0.8781585348726529,0,1,1.12
F,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.10961029899827594,0.0018711000035526275,0.21830467112297328,-0.16480265061982405,0.5020978178544394,-0.011353579548116525,0,1,0.01
